City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
476,eskisehir,39.7767,30.5206,3.95,100,40,1.54,TR,1682136863
477,kudahuvadhoo,2.6708,72.8944,28.95,71,18,2.12,MV,1682136863
478,isilkul,54.9109,71.2728,8.93,58,99,5.24,RU,1682136864
479,kagoro,9.6,8.3833,21.04,79,100,1.41,NG,1682136864
480,pontianak,-0.0333,109.3333,26.99,89,40,2.06,ID,1682136865
481,teya,60.3778,92.6267,0.38,88,91,0.41,RU,1682136865
482,kapurthala,31.3794,75.3847,28.97,23,16,2.07,IN,1682136866
483,kasongo-lunda,-6.4667,16.8167,21.2,98,100,0.81,CD,1682136866
484,urumqi,43.801,87.6005,10.53,32,0,3.0,CN,1682136840
485,gualaquiza,-3.4,-78.55,17.06,95,100,0.5,EC,1682136867
486,verkhoyansk,67.5447,133.385,-4.58,79,100,1.12,RU,1682136868
487,naze,28.3667,129.4833,20.73,86,35,9.26,JP,1682136691
488,tezu,27.9167,96.1667,32.29,28,100,1.63,IN,1682136339
489,atasu,48.6814,71.6433,10.28,32,41,2.49,KZ,1682136869
490,marquette,46.5333,-87.6335,2.12,87,45,1.34,US,1682136366
491,catuday,16.2923,119.8062,28.72,70,85,4.99,PH,1682136870
492,la palma,33.8464,-118.0467,26.34,40,0,1.54,US,1682136870
493,ketchikan,55.3422,-131.6461,7.26,87,100,2.06,US,1682136871
494,boueni,-12.9025,45.0761,27.99,73,85,4.92,YT,1682136871
495,khani,41.9563,42.9566,3.76,72,25,0.86,GE,1682136872
496,bara,10.3744,10.7288,26.13,69,100,4.28,NG,1682136873
497,sipe sipe,-17.45,-66.3833,14.44,68,3,1.01,BO,1682136873
498,daru,-9.0763,143.2092,26.77,85,100,5.08,PG,1682136613
499,lalmohan,22.3384,90.7419,30.37,69,19,4.49,BD,1682136874
500,lethem,3.3803,-59.7968,24.97,89,100,2.38,GY,1682136875
501,marion,39.7684,-86.1555,10.21,87,100,1.54,US,1682136752
502,kemijarvi,66.7131,27.4306,-1.35,87,100,4.47,FI,1682136876
503,port augusta,-32.5,137.7667,24.87,32,0,2.66,AU,1682136876
504,sattahip,12.6664,100.9007,36.39,62,20,4.12,TH,1682136876
505,bowen,-20.0167,148.2333,27.15,63,66,8.97,AU,1682136877
506,simao,22.7886,100.9748,31.01,24,1,3.63,CN,1682136878
507,nadvoitsy,63.8667,34.3167,2.06,97,100,4.27,RU,1682136878
508,caldas novas,-17.7417,-48.625,17.57,91,36,2.66,BR,1682136878
509,bubaque,11.2833,-15.8333,26.64,63,99,8.18,GW,1682136879
510,emba,48.8264,58.1442,13.07,33,100,11.95,KZ,1682136879
511,moose factory,51.2585,-80.6094,-0.01,100,100,2.06,CA,1682136880
